top	초기화면		green|guide|mail|bbs|computer|potion|blindnews|magazin|pds|edu2013
comma	13. 쉼표가 찍힌 일상	bbs	http://web.kbuwel.or.kr/menu/index.php?page=1&club=main&bcode=comma&mo=bbs&&gonum=&s_que=
dvsbbs	14. 화면해설방송수신기 불편 신고 게시판	bbs	http://web.kbuwel.or.kr/menu/index.php?page=1&mo=bbs&club=main&bcode=dvsbbs
cardbbs	15. 의약품 부작용 불편 신고 게시판	bbs	http://web.kbuwel.or.kr/menu/index.php?page=1&mo=bbs&club=main&bcode=cardbbs
relibbs	16. 종교게시판	bbs	http://web.kbuwel.or.kr/menu/index.php?page=1&club=main&bcode=relibbs&mo=bbs&&gonum=&s_que=
prevbbs	17. 이전 자유게시판	bbs	free2014|free2011|free2006|free2003
free2014	1. 2014년 이전 자유게시판	prevbbs	http://web.kbuwel.or.kr/menu/index.php?page=1&club=main&bcode=free2014&mo=freebbs&&gonum=&s_que=
free2011	2. 2011년 이전 자유게시판	prevbbs	http://web.kbuwel.or.kr/menu/index.php?page=1&club=main&bcode=free2011&mo=freebbs&&gonum=&s_que=
free2006	3. 2007년 이전 자유게시판	prevbbs	http://web.kbuwel.or.kr/menu/index.php?page=1&club=main&bcode=free2006&mo=freebbs&&gonum=&s_que=
free2003	4. 2004년 이전 자유게시판	prevbbs	http://web.kbuwel.or.kr/menu/index.php?page=1&club=main&bcode=free2003&mo=freebbs&&gonum=&s_que=

computer	4. 컴퓨터	top	cominfo|comqna|com119|comlec|prg|skt
cominfo	1. 컴소식	computer	http://web.kbuwel.or.kr/menu/index.php?page=1&club=main&bcode=cominfo&mo=computer&&gonum=&s_que=
comqna	2. 물어보세요	computer	http://web.kbuwel.or.kr/menu/index.php?page=1&club=main&bcode=comqna&mo=computer&&gonum=&s_que=

com119	3. 컴퓨터 119	computer	com119info|com119free|com119lec|com119pds
com119info	1. 공지사항	computer	http://web.kbuwel.or.kr/menu/index.php?page=1&club=com119&bcode=com119info&mo=com119&&gonum=&s_que=
com119free	2. 자유게시판	computer	http://web.kbuwel.or.kr/menu/index.php?page=1&club=com119&bcode=com119free&mo=com119&&gonum=&s_que=
com119lec	3. 컴퓨터 강의실	computer	http://web.kbuwel.or.kr/menu/index.php?page=1&club=com119&bcode=com119lec&mo=com119&&gonum=&s_que=
com119pds	4. 자료실	computer	http://web.kbuwel.or.kr/menu/index.php?page=1&club=com119&bcode=com119pds&mo=com119&&gonum=&s_que=
comlec	4. 강좌 / 메뉴얼	computer	mcom|comlecetcb
mcom	1. 음성 / 동영상 강좌	comlec	http://web.kbuwel.or.kr/menu/index.php?page=1&club=main&bcode=mcom&mo=comlec&&gonum=&s_que=
comlecetcb	2. 문서 강좌 / 메뉴얼	comlec	http://web.kbuwel.or.kr/menu/index.php?page=1&club=main&bcode=comlecetcb&mo=comlec&&gonum=&s_que=

prg	5. 개발자와 함께	computer	hims|xvsrd|neo

hims	1. 자원 메디칼(구 힘스인터내셔널)	prg	himsinfo|himsintro|himsproduc|himsfree|himsqna|himsqna2|himsfaq|himsstudy1|himspds1
himsinfo	1. 공지사항	hims	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himsinfo&mo=hims&&gonum=&s_que=
himsintro	2. 회사소개	hims	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himsintro&mo=hims&&gonum=&s_que=
himsproduc	3. 제품소개	hims	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himsproduc&mo=hims&&gonum=&s_que=
himsfree	4. 게시판	hims	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himsfree&mo=hims&&gonum=&s_que=
