top	넓은마을 초기화면		green|guide|mail|bbs|computer|potion|blindnews|magazin|pds
moitech1	1. 공지사항	moitech	http://web.kbuwel.or.kr/menu/?mo=moitech&club=moitech&bcode=moitech1
moitech2	2. 회사소개	moitech	http://web.kbuwel.or.kr/menu/?mo=moitech&club=moitech&bcode=moitech2
moitech3	3. 제품소개	moitech	http://web.kbuwel.or.kr/menu/?mo=moitech&club=moitech&bcode=moitech3
moitech4	4. 게시판	moitech	http://web.kbuwel.or.kr/menu/?mo=moitech&club=moitech&bcode=moitech4
moitech10	5. 점박이 묻고 답하기	moitech	http://web.kbuwel.or.kr/menu/?mo=moitech&club=moitech&bcode=moitech10
moitech5	6. 세이카3 묻고 답하기	moitech	http://web.kbuwel.or.kr/menu/?mo=moitech&club=moitech&bcode=moitech5
moitech6	7. 자주 묻는 질문과 답변	moitech	http://web.kbuwel.or.kr/menu/?mo=moitech&club=moitech&bcode=moitech6

moitech-moitech7	8. 강의실	top	moitech71|moitech72
moitech71	1. 점박이(점자라벨기)	moitech	http://web.kbuwel.or.kr/menu/?mo=moitech7&club=moitech&bcode=moitech71
moitech72	2. 세이카3	moitech	http://web.kbuwel.or.kr/menu/?mo=moitech7&club=moitech&bcode=moitech72

moitech-moitech8	9. 자료실	top	moitech81|moitech82|moitech83
moitech81	1. 점박이(점자라벨기)	moitech	http://web.kbuwel.or.kr/menu/?mo=moitech8&club=moitech&bcode=moitech81
moitech82	2. 세이카3	moitech	http://web.kbuwel.or.kr/menu/?mo=moitech8&club=moitech&bcode=moitech82
moitech83	3. 기타자료	moitech	http://web.kbuwel.or.kr/menu/?mo=moitech8&club=moitech&bcode=moitech83

mobi	8. 모비언스	top	mobi1|mobi2|mobi8|mobi7|mobi6|mobi4|mobi5|mobi10
mobi1	1. 공지사항	mobi	http://web.kbuwel.or.kr/menu/?mo=mobi&club=mobi&bcode=mobi1
mobi2	2. 회사소개 및 제품안내	mobi	http://web.kbuwel.or.kr/menu/?mo=mobi&club=mobi&bcode=mobi2
mobi8	3. 자유게시판	mobi	http://web.kbuwel.or.kr/menu/?mo=mobi&club=mobi&bcode=mobi8
mobi7	4. 묻고 답하기	mobi	http://web.kbuwel.or.kr/menu/?mo=mobi&club=mobi&bcode=mobi7
mobi6	5. 자주묻는 질문과 답변	mobi	http://web.kbuwel.or.kr/menu/?mo=mobi&club=mobi&bcode=mobi6

mobi-mobi4	6. 강의실	top	mobi41|mobi42
mobi41	1. 리보 k 강좌	mobi	http://web.kbuwel.or.kr/menu/?mo=mobi4&club=mobi&bcode=mobi41
mobi42	2. 리보 k 음성강좌	mobi	http://web.kbuwel.or.kr/menu/?mo=mobi4&club=mobi&bcode=mobi42
mobi5	7. 자료실	mobi	http://web.kbuwel.or.kr/menu/?mo=mobi&club=mobi&bcode=mobi5
mobi10	8. 제안하기	mobi	http://web.kbuwel.or.kr/menu/?mo=mobi&club=mobi&bcode=mobi10

dot	9. (주)dot	top	dot1|dot2|dot3|dot4|dot5|dot6
dot1	1. 새소식	dot	http://web.kbuwel.or.kr/menu/?mo=dot&club=dot&bcode=dot1
dot2	2. 회사 및 제품소개	dot	http://web.kbuwel.or.kr/menu/?mo=dot&club=dot&bcode=dot2
dot3	3. 나는 이런 제품을 원한다	dot	http://web.kbuwel.or.kr/menu/?mo=dot&club=dot&bcode=dot3
dot4	4. VIP room	dot	http://web.kbuwel.or.kr/menu/?mo=dot&club=dot&bcode=dot4
dot5	5. Q & A	dot	http://web.kbuwel.or.kr/menu/?mo=dot&club=dot&bcode=dot5
dot6	6. 자료실	dot	http://web.kbuwel.or.kr/menu/?mo=dot&club=dot&bcode=dot6

silwel	10. 실로암시각장애인복지회	top	silwel1|silwel2|silwel3|silwel4|silwel5|silwel6
silwel1	1. 공지사항	silwel	http://web.kbuwel.or.kr/menu/?mo=silwel&club=silwel&bcode=silwel1
silwel2	2. 제품소개	silwel	http://web.kbuwel.or.kr/menu/?mo=silwel&club=silwel&bcode=silwel2
silwel3	3. 자유게시판	silwel	http://web.kbuwel.or.kr/menu/?mo=silwel&club=silwel&bcode=silwel3
silwel4	4. 묻고 답하기	silwel	http://web.kbuwel.or.kr/menu/?mo=silwel&club=silwel&bcode=silwel4
silwel5	5. 자료실	silwel	http://web.kbuwel.or.kr/menu/?mo=silwel&club=silwel&bcode=silwel5
silwel6	6. 강의실	silwel	http://web.kbuwel.or.kr/menu/?mo=silwel&club=silwel&bcode=silwel6


skt	6. SK 행복을 들려주는 도서관	computer	skt1|skt2|skt3|skt4
skt1	1. 공지사항	skt	http://web.kbuwel.or.kr/menu/index.php?page=1&club=skt&bcode=skt1&mo=skt&&gonum=&s_que=
skt2	2. 묻고 답하기	skt	http://web.kbuwel.or.kr/menu/index.php?page=1&club=skt&bcode=skt2&mo=skt&&gonum=&s_que=
skt3	3. 자료실	skt	http://web.kbuwel.or.kr/menu/index.php?page=1&club=skt&bcode=skt3&mo=skt&&gonum=&s_que=
skt4	4. 행복이벤트 참여 게시판	skt	http://web.kbuwel.or.kr/menu/index.php?page=1&club=skt&bcode=skt4&mo=skt&&gonum=&s_que=
